UB,words,count,,type,mean
,of,5220,,"(preposition,auxiliary verb)",ل
,and,5196,,(conjunction),و
,to,4951,,"(preposition,adverb)",ل
,a,4506,,"(indefinite article,noun,preposition)",أ
,in,2822,,"(preposition,adverb)",في
,is,2699,,(verb),يكون
,you,2041,,"(pronoun,noun)",أنت
,are,1843,,(verb),نكون
,for,1752,,"(preposition,conjunction)",ل
,that,1743,,"(pronoun,adjective,adverb,conjunction)",الذي - التي
,or,1487,,(conjunction),أو
,it,1386,,"(pronoun,noun)",هو - هي
,as,1363,,"(adverb,conjunction,pronoun,preposition)",d
,be,1145,,"(verb,auxiliary verb)",يكون
,on,1087,,"(preposition,adverb,adjective)",على
,your,1067,,(pronoun),لك
,with,1062,,(preposition),مع
,can,895,,"(auxiliary verb,noun)",يستطيع
,have,891,,"(verb,auxiliary verb)",يملك
,this,864,,"(pronoun,adjective,adverb)",هذا
,an,754,,(indefinite article),ان
,by,706,,"(preposition,adverb)",بواسطة
,not,658,,(adverb),لا
,but,626,,"(conjunction,preposition,adverb,noun)",لكن
,at,624,,(preposition),في
,from,622,,(preposition),من
,I,621,,(pronoun),أنا
,they,617,,(pronoun),هم
,more,597,,"(adjective,adverb)",أكثر
,will,577,,"(auxiliary verb,noun)",سوف
,if,546,,"(conjunction,noun)",لو
,some,501,,"(adjective,pronoun,adverb)",بعض
,there,470,,"(adverb,pronoun,noun,adjective)",هناك
,what,461,,"(pronoun,adjective,adverb,interjection)",ماذا
,about,451,,"(preposition,adverb,adjective)",عن
,which,449,,"(pronoun,adjective)",أيّ
,when,442,,"(adverb,conjunction)",متى
,one,441,,"(adjective,noun,pronoun)",واحد
,their,439,,(pronoun),هُم
,all,438,,"(adjective,pronoun,noun,adverb)",الجميع
,also,419,,(adverb),أيضًا
,how,412,,"(adverb,conjunction)",كيف
,many,397,,"(adjective,noun,pronoun)",كثير
,do,389,,(auxiliary verb),يفعل
,has,384,,(verb),لديه
,most,378,,"(adjective,noun,adverb)",معظم
,people,372,,(noun),الناس
,other,369,,"(adjective,noun,pronoun,adverb)",آخر
,time,369,,"(noun,adjective,verb)",وقت
,so,352,,"(adverb,conjunction,pronoun,adjective)",لذا
,was,352,,"(past,verb)",كان
,we,352,,(pronoun),نحن
,these,344,,"(pronoun,adjective)",هؤلاء
,may,336,,(auxiliary verb),يمكن
,like,324,,"(preposition,verb,conjunction,adverb)",يحب
,use,319,,"(verb,noun)",يستخدم
,into,301,,(preposition),داخل
,than,301,,(conjunction),من
,up,296,,"(adverb,preposition,adjective,noun)",أعلى
,out,294,,"(adverb,preposition,adjective,interjection)",خارج
,who,281,,(pronoun),من
,them,269,,(pronoun),هم
,make,262,,"(verb,noun)",يصنع
,because,248,,(conjunction),لأن
,such,236,,"(adjective,adverb)",هذه
,through,235,,"(preposition,adverb,adjective)",خلال
,get,233,,(verb),يحصل
,work,224,,"(noun,adjective,verb)",عمل
,even,223,,"(adjective,verb,adverb)",حتى
,different,215,,(adjective),مختلف
,its,215,,(pronoun),إنه
,no,213,,"(adverb,adjective,noun)",لا
,our,213,,(pronoun),ملكنا
,new,210,,"(adjective,adverb)",جديد
,film,209,,"(noun,verb)",فيلم
,just,208,,"(adjective,adverb)",فقط
,only,208,,"(adverb,adjective,conjunction)",فقط
,see,204,,(verb),يرى
,used,204,,(adjective),مستخدم
,good,201,,"(adjective,noun,adverb,interjection)",جيد
,water,201,,"(noun,verb,adjective)",ماء
,been,200,,"(past,verb)",كان
,need,193,,(verb),يحتاج
,should,191,,(auxiliary verb),يجب
,very,191,,(adverb),جداً
,any,190,,"(adjective,adverb)",أي
,history,187,,(noun),تاريخ
,often,187,,(adverb),غالباً
,way,185,,(noun),طريق
,well,184,,"(adverb,verb,noun,interjection)",حسنًا
,art,183,,(noun),فن
,know,181,,(verb),يعرف
,were,180,,"(past,verb)",كان
,then,179,,"(adverb,adjective)",ثم
,my,177,,(pronoun),لي
,first,176,,"(adverb,adjective)",أولاً
,would,176,,(verb),كان
,money,174,,"(noun,adjective)",مال
,each,173,,"(adjective,adverb)",كل
,over,170,,"(preposition,adjective,noun)",زيادة
,world,169,,(noun),عالم
,information,168,,(noun),معلومة
,map,167,,(noun),رسم خريطة
,find,166,,(verb),يجد
,where,166,,"(adverb,pronoun,noun)",أين
,much,165,,"(adjective,adverb)",كثيراً
,take,164,,(verb),يأخذ
,two,164,,(noun),اثنين
,want,163,,(verb),يريد
,important,160,,(adjective),مهم
,family,159,,(noun),عائلة
,those,156,,(pronoun),أولئك
,example,147,,"(noun,verb)",مثال
,while,147,,"(noun,conjunction,preposition,verb)",بينما
,he,144,,(pronoun),هو
,look,144,,"(verb,noun,interjection)",ينظر
,government,143,,(noun),حكومة
,before,141,,"(preposition,adverb,conjunction)",قبل
,help,141,,"(verb,noun,interjection)",يساعد
,between,137,,"(preposition,adverb)",بين
,go,131,,"(verb,noun,adjective,interjection)",يذهب
,own,130,,"(adjective,verb)",ملك
,however,128,,(adverb),لكن
,business,127,,"(noun,adjective)",عمل
,us,127,,(pronoun),نحن
,great,126,,"(adjective,noun,adverb,interjection)",عظيم
,his,125,,"(pronoun,adjective)",له
,being,124,,"(verb,noun)",كون
,another,123,,"(adjective,pronoun)",آخر
,health,122,,(noun),صحة
,same,120,,"(adjective,pronoun,adverb)",نفس
,study,118,,"(noun,verb)",يذاكر
,why,118,,"(adverb,conjunction,noun,interjection)",لماذا
,few,117,,"(adjective,noun,pronoun)",عدد قليل
,game,117,,"(noun,adjective,verb)",لعبة
