vrebs_en,vreb_ar,words1,mean1,mean2,mean3,mean4,mean_ar_1,mean_ar_2,mean_ar_3,mean_ar_4,,id,stats
see,يرى,see,perceive with the eyes; comprehend visually,I saw a beautiful movie yesterday.,She sees the sunrise every morning.,We will see each other next week.,إدراك العيون. فهم بصري,رأيت فيلمًا جميلًا أمس.,ترى شروق الشمس كل صباح.,سنرى بعضنا البعض الأسبوع المقبل.,,1,0
need,يحتاج,need,require; lack; want,He needed help with his project.,The plant needs water regularly.,We will need more time to finish.,يتطلب؛ نقص؛ يريد,كان بحاجة إلى مساعدة في مشروعه.,يحتاج النبات إلى الماء بانتظام.,سنحتاج إلى مزيد من الوقت للإنهاء.,,2,0
decide,يقرر,decide,make a choice or come to a conclusion,They decided to go on a vacation.,She decides what to wear every day.,I will decide after thinking.,اتخاذ خيار أو توصل إلى نتيجة,قرروا الذهاب في إجازة.,هي تقرر ما ترتديه كل يوم.,سأقرر بعد التفكير.,,3,0
protect,يحمي,protect,keep safe from harm or danger,The armor protected the knight.,The security guard protects the building.,We will protect the environment.,ابق في مأمن من الأذى أو الخطر,درع حماية الفارس.,حارس الأمن يحمي المبنى.,سنحمي البيئة.,,4,0
require,يتطلب,require,need something because it is essential,This task required skill and precision.,The job requires attention to detail.,The project will require extra resources.,بحاجة إلى شيء لأنه ضروري,هذه المهمة تتطلب المهارة والدقة.,الوظيفة تتطلب الاهتمام بالتفاصيل.,سيتطلب المشروع موارد إضافية.,,5,0
write,يكتب,write,mark letters or words on paper or another surface,She wrote a beautiful poem.,He writes articles for the magazine.,They will write a report tomorrow.,علامة على الحروف أو الكلمات على الورق أو سطح آخر,كتبت قصيدة جميلة.,يكتب مقالات للمجلة.,سوف يكتبون تقريرًا غدًا.,,6,0
avoid,يتجنب,avoid,keep away from or stop oneself from doing something,I avoided the busy street.,He avoids eating fast food.,We will avoid making the same mistake.,ابتعد عن أو توقف عن فعل شيء ما,لقد تجنبت الشارع المزدحم.,يتجنب تناول الوجبات السريعة.,سوف نتجنب ارتكاب نفس الخطأ.,,7,0
prepare,يحضر,prepare,make something ready for use or consideration,She prepared a delicious meal.,They prepare for exams in advance.,We will prepare for the upcoming event.,اجعل شيئًا جاهزًا للاستخدام أو النظر,أعدت وجبة لذيذة.,يستعدون للامتحانات مقدما.,سنستعد للحدث القادم.,,8,0
build,يبني,build,construct by putting parts or material together,They built a new bridge.,We build houses with sustainable materials.,The company will build a new headquarters.,بناء عن طريق وضع أجزاء أو مواد معًا,بنوا جسر جديد.,نحن نبني المنازل مع مواد مستدامة.,ستقوم الشركة ببناء مقر جديد.,,9,0
achieve,يحقق,achieve,successfully bring about or reach a desired objective,She achieved her fitness goals.,He achieves high grades in school.,We will achieve success through hard work.,نجح في تحقيق الهدف المرغوب فيه أو الوصول إليه,حققت أهدافها اللياقة.,انه يحقق درجات عالية في المدرسة.,سنحقق النجاح من خلال العمل الجاد.,,10,0
believe,يعتقد,believe,"accept that something is true, especially without proof",I believed in his words.,She believes in the power of positivity.,We will believe in ourselves.,تقبل أن شيئًا ما صحيحًا ، خاصة بدون دليل,كنت أؤمن بكلماته.,إنها تؤمن بقوة الإيجابية.,سوف نؤمن بأنفسنا.,,11,0
receive,يستلم,receive,"be given, presented with, or paid (something)",He received a gift for his birthday.,The company receives feedback from customers.,We will receive the results next week.,يتم تقديمها أو تقديمها أو دفعها (شيء ما),تلقى هدية لعيد ميلاده.,تتلقى الشركة ملاحظات من العملاء.,سوف نتلقى النتائج الأسبوع المقبل.,,12,0
seem,يبدو,seem,give the impression or sensation of being something,It seemed like a dream.,She seems happy with her new job.,The situation will seem clearer soon.,أعط انطباعًا أو الإحساس بأنك شيء ما,بدا وكأنه حلم.,يبدو أنها سعيدة بوظيفة جديدة.,سيبدو الوضع أكثر وضوحًا قريبًا.,,13,0
discuss,يناقش,discuss,talk about (something) with another person or group,They discussed the plan.,We discuss current events regularly.,We will discuss the project tomorrow.,تحدث عن (شيء ما) مع شخص آخر أو مجموعة,ناقشوا الخطة.,نناقش الأحداث الحالية بانتظام.,سنناقش المشروع غدًا.,,14,0
realize,يدرك,realize,become fully aware of (something) as a fact,I realized my mistake.,She realizes the importance of time management.,We will realize our potential.,كن على دراية تامة بـ (شيء ما) كحقيقة,أدركت خطأي.,إنها تدرك أهمية إدارة الوقت.,سوف ندرك إمكاناتنا.,,15,0
Follow,يتبع,follow,go or come after (a person or thing proceeding ahead),He followed the leader.,They follow a strict schedule.,We will follow your advice.,اذهب أو تعال (شخص أو شيء يتقدم إلى الأمام),تابع القائد.,يتبعون جدولًا صارمًا.,سوف نتبع نصيحتك.,,16,0
solve,يحل,solve,"find an answer to, explanation for, or means of effectively dealing with (a problem or mystery)",They solved the puzzle.,He solves complex mathematical problems.,We will solve the issue together.,ابحث عن إجابة أو شرح أو وسائل للتعامل بفعالية (مشكلة أو لغز),قاموا بحل اللغز.,انه يحل المشاكل الرياضية المعقدة.,سوف نحل المشكلة معًا.,,17,0
discribe,افصل,describe,"give an account in words of (someone or something), including all the relevant characteristics, qualities, or events",She described the scene vividly.,We describe the process step by step.,They will describe their experience later.,أعط حسابًا بكلمات (شخص ما أو شيء ما) ، بما في ذلك جميع الخصائص أو الصفات أو الأحداث ذات الصلة,وصفت المشهد بوضوح.,وصفنا العملية خطوة بخطوة.,سوف يصفون تجربتهم لاحقًا.,,18,0
prefer,يفضل,prefer,like (one thing or person) better than another or others,I preferred tea over coffee.,She prefers to work in a quiet environment.,We will prefer the earlier time slot.,مثل (شيء أو شخص) أفضل من شيء آخر أو غيره,فضلت الشاي على القهوة.,إنها تفضل العمل في بيئة هادئة.,سوف نفضل فتحة الوقت في وقت مبكر.,,19,0
discover,يكتشف,discover,find (something or someone) unexpectedly or in the course of a search,They discovered a hidden treasure.,He discovers new facts through research.,We will discover new opportunities.,ابحث عن (شيء أو شخص ما) بشكل غير متوقع أو أثناء البحث,اكتشفوا كنز خفي.,يكتشف حقائق جديدة من خلال البحث.,سنكتشف فرصًا جديدة.,,20,0
invest,يستثمر,invest,"put (money) into financial schemes, shares, property, or a commercial venture with the expectation of achieving a profit",She invested in real estate.,They invest in renewable energy projects.,We will invest in the stock market.,ضع (أموال) في المخططات المالية أو الأسهم أو الممتلكات أو مشروع تجاري مع توقع تحقيق ربح,استثمرت في العقارات.,يستثمرون في مشاريع الطاقة المتجددة.,سوف نستثمر في سوق الأوراق المالية.,,21,0
enjoy,يتمتع,enjoy,take delight or pleasure in (an activity or occasion),I enjoyed the concert.,She enjoys reading novels.,We will enjoy the vacation.,خذ فرحة أو متعة (نشاط أو مناسبة),لقد استمتعت بالحفل.,إنها تستمتع بقراءة الروايات.,سوف نستمتع بالعطلة.,,22,0
reduce,يقلل,reduce,"make smaller or less in amount, degree, or size",We reduced our expenses.,They reduce waste through recycling.,We will reduce our carbon footprint.,جعل أصغر أو أقل في الكمية أو الشهادة أو الحجم,قمنا بتخفيض نفقاتنا.,أنها تقلل من النفايات من خلال إعادة التدوير.,سنقوم بتقليل بصمة الكربون لدينا.,,23,0
speak,يتكلم,speak,communicate by talking; have a conversation,He spoke eloquently.,She speaks several languages.,We will speak with the manager later.,التواصل عن طريق الحديث إجراء محادثة,تحدث ببلاغة.,تتحدث عدة لغات.,سوف نتحدث مع المدير لاحقًا.,,24,0
